site_id,site_name,region,ccamlr_id,latitude,longitude,input_srid
JOHN,Johnson's Dock,South Shetland Islands,48.1,-62.6604,-60.3675,4326
JONA,Jonassen Island,Northeast Antarctic Peninsula,48.1,-63.5425,-56.6834,4326
JONE,Cape Jones,Victoria Land,88.1,-73.2762,169.2272,4326
JORG,Jorge Island,South Shetland Islands,48.1,-62.3798,-59.7607,4326
JOUB,Joubin Islands,Central-west Antarctic Peninsula,48.1,-64.7744,-64.3992,4326
JOUG,Jougla Point,Central-west Antarctic Peninsula,48.1,-64.827,-63.4932,4326
JPTI,Jameson Point Islands,South Shetland Islands,48.1,-63.2944,-62.2622,4326
JPTS,Jameson Point (south),South Shetland Islands,48.1,-63.3079,-62.2524,4326
JPTV,Jameson Point (vicinity),South Shetland Islands,48.1,-63.296,-62.2583,4326
JUAN,Juan Carlos I Station,South Shetland Islands,48.1,-62.65,-60.383,4326
JULE,Cape Jules,Wilkes Land,58.4.1,-66.7438,140.9189,4326
KATE,Cape Kater,Northwest Antarctic Peninsula,48.1,-63.7742,-59.8471,4326
KAYR,Kay Rock,Central-west Antarctic Peninsula,48.1,-64.126,-60.935,4326
KELL,Kellick Island,South Shetland Islands,48.1,-61.9186,-58.3928,4326
KETL,Ketley Point,Central-west Antarctic Peninsula,48.1,-64.7066,-62.7631,4326
KIDS,Kidson Island,Mac. Robertson Land,58.4.2,-67.2144,61.187,4326
KING,King Point,Northeast Antarctic Peninsula,48.1,-63.16,-55.481,4326
KIRB,Kirby Head,Enderby Land,58.4.2,-67.2726,46.5372,4326
KIRT,Kirton/Macklin,Mac. Robertson Land,58.4.2,-67.4907,63.6378,4326
KITC,Kitchen Point,South Shetland Islands,48.1,-62.387,-59.347,4326
KJEL,Cape Kjellman,Northwest Antarctic Peninsula,48.1,-63.7249,-59.4145,4326
KLOA,Kloa Point,Kemp Land,58.4.2,-66.64,57.28,4326
KNOB,"Knobble Head, Bransfield Island",Northeast Antarctic Peninsula,48.1,-63.1619,-56.5694,4326
KOPA,Kopaitic Island,Northwest Antarctic Peninsula,48.1,-63.315,-57.91,4326
KROG,Krogh Island (Islet North of NE coast of K.I.),Southwest Antarctic Peninsula,48.1,-66.250738,-66.960104,4326
KUNO,Kuno Point,Southwest Antarctic Peninsula,48.1,-66.3978,-67.1603,4326
KUZI,Kuzira Point,Queen Maud Land,58.4.2,-69.6,38.2667,4326
LAAG,Laager Point,South Shetland Islands,48.1,-62.641,-61.146,4326
LACH,Cape Lachman (James Ross Island),Northeast Antarctic Peninsula,48.1,-63.782222,-57.784444,4326
LAFA,Lafarge Rocks,Northwest Antarctic Peninsula,48.1,-63.209,-57.549,4326
LAGO,Lagotellerie Island,Southwest Antarctic Peninsula,48.1,-67.8869,-67.4017,4326
LAIN,Lainez Point,Southwest Antarctic Peninsula,48.1,-67.695556,-67.78,4326
LAIR,Lair Point,South Shetland Islands,48.1,-62.615,-61.0353,4326
LAJA,Lajarte Island,Central-west Antarctic Peninsula,48.1,-64.2357,-63.4752,4326
LAKT,Islet next to Laktionov Island,Southwest Antarctic Peninsula,48.1,-65.758531,-65.789737,4326
LARS,Larsen Island,South Orkney Islands,48.2,-60.5955,-46.0777,4326
LAUF,Lauff Island,Marie Byrd Land,88.2,-73.2325,-126.7749,4326
LAUR,Cape Laure,Central-west Antarctic Peninsula,48.1,-64.7667,-63.3492,4326
LAUT,Lautaro Neck,Central-west Antarctic Peninsula,48.1,-64.8285,-63.1027,4326
LAVO,Islet 1 km west of Lavosier Island,Southwest Antarctic Peninsula,48.1,-66.122,-66.829,4326
LAZA,Lazarev,Queen Maud Land,48.6,-69.75,15.55,4326
LECO,Lecointe Island,Central-west Antarctic Peninsula,48.1,-64.270278,-62.064722,4326
LEDD,Ledda Bay,Marie Byrd Land,88.2,-74.228,-130.784,4326
LEGU,Cape Leguillou,Northwest Antarctic Peninsula,48.1,-63.5427,-59.843,4326
LEPP,Islet south of Le Petit Prince,South Shetland Islands,48.1,-61.911,-58.021,4326
LEWI,Lewis Island,Wilkes Land,58.4.1,-66.1051,134.3849,4326
LIND,Lindblad Cove,Northwest Antarctic Peninsula,48.1,-63.878611,-59.441111,4326
LION,Lions Rump,South Shetland Islands,48.1,-62.1331,-58.1229,4326
LITC,Litchfield Island,Central-west Antarctic Peninsula,48.1,-64.7708,-64.0919,4326
LITW,Litwin Bay (southwest of Davey Point),South Shetland Islands,48.1,-61.987,-58.565,4326
LLAN,Llano Point,South Shetland Islands,48.1,-62.176,-58.446,4326
LLOY,Cape Lloyd,Elephant Island,48.1,-61.1298,-54.0103,4326
LOBO,Lobodon Island,Central-west Antarctic Peninsula,48.1,-64.086,-61.6009,4326
LOCK,Port Lockroy,Central-west Antarctic Peninsula,48.1,-64.8231,-63.484,4326
LONG,Long Peninsula Island,Princess Elizabeth Land,58.4.2,-68.4163,78.324,4326
LOOK,Cape Lookout,Elephant Island,48.1,-61.278,-55.205,4326
LOUB,Loubat Point,Central-west Antarctic Peninsula,48.1,-65.0776,-63.9265,4326
LOVI,Lovill Bluff,Marie Byrd Land,88.2,-73.538,-127.4361,4326
LOWT,Low Tongue,Mac. Robertson Land,58.4.2,-67.5456,61.9906,4326
LSAY,Lindsay Islands,Marie Byrd Land,88.3,-73.6094,-103.1829,4326
LUIT,Luitpold,Coats Land,48.5,-77.77,-33.6,4326
MABE,Mabel Island,South Orkney Islands,48.2,-60.675,-44.701,4326
MACK,MacKellar Islands,Victoria Land,58.4.1,-66.967,142.65,4326
MACO,Mackintosh Cove (east coast),South Orkney Islands,48.2,-60.6851,-44.4912,4326
MADD,Madder Cliff (Joinville Island),Northeast Antarctic Peninsula,48.1,-63.2989,-56.4831,4326
MADI,Madder Cliff Island,Northeast Antarctic Peninsula,48.1,-63.306,-56.499,4326
MAHE,Maher Island,Marie Byrd Land,88.2,-73.1983,-127.0503,4326
MALL,Mallory Point,Wilkes Land,58.4.1,-66.83,108.6433,4326
MAME,Mame-zima,Queen Maud Land,58.4.2,-69.0167,39.4833,4326
MAND,Mandible Cirque,Victoria Land,88.1,-73.117,169.25,4326
MANS,Mansfield Point,South Orkney Islands,48.2,-60.65,-45.7333,4326
MARA,Marambio Station Vicinity,Northeast Antarctic Peninsula,48.1,-64.240556,-56.627222,4326
MARI,Mariholm,South Orkney Islands,48.2,-60.746,-45.693,4326
MARR,Marr Bay (east coast),South Orkney Islands,48.2,-60.678,-44.527,4326
MART,Point Martin,South Orkney Islands,48.2,-60.7709,-44.7185,4326
MATH,Matthews Island,South Orkney Islands,48.2,-60.745,-45.155,4326
MAWS,Mawson Coast (excl. Bechervaise Island),Mac. Robertson Land,58.4.2,-67.5563,62.9406,4326
MBIS,Mount Biscoe,Enderby Land,58.4.2,-66.2209,51.3275,4326
MBNE,Miers Bluff Cove (northeast),South Shetland Islands,48.1,-62.716,-60.431,4326
MBNW,Miers Bluff (northwest),South Shetland Islands,48.1,-62.716,-60.431,4326
MCAL,McCall Point,Southwest Antarctic Peninsula,48.1,-67.03,-66.616667,4326
MCDO,McDonald Point,Mac. Robertson Land,58.4.2,-67.3427,59.6654,4326
MEDL,Medley Rocks,Northeast Antarctic Peninsula,48.1,-62.996093,-56.036455,4326
MEGA,Megaptera Island,Central-west Antarctic Peninsula,48.1,-63.678,-60.806,4326
MEHO,Meholmen Island,Queen Maud Land,58.4.2,-69.0254,39.4788,4326
MEIE,Meier Point,South Orkney Islands,48.2,-60.636,-45.896,4326
MELC,Melchior Islands,Central-west Antarctic Peninsula,48.1,-64.312105,-62.962974,4326
MERR,Merritt Island,Wilkes Land,58.4.1,-66.4588,107.1565,4326
MERT,Mertz Glacier,George V Land,58.4.1,-66.892,146.62,4326
METC,Metchnikoff Point,Central-west Antarctic Peninsula,48.1,-64.041,-62.5747,4326
METH,Methuen Cove,South Orkney Islands,48.2,-60.751,-44.576,4326
MGLE,Mount Gleadell,Enderby Land,58.4.2,-66.941,50.44,4326
MICH,Michelsen Island,South Orkney Islands,48.2,-60.7324,-45.0233,4326
MIDA,Midas Island,Central-west Antarctic Peninsula,48.1,-64.1685,-61.1008,4326
MIDG,Hollin/Midgley,Wilkes Land,58.4.1,-66.3259,110.4036,4326
MIER,Miers Bluff,South Shetland Islands,48.1,-62.7167,-60.4282,4326
MIKK,Mikkelsen Harbor (Trinity Island),Central-west Antarctic Peninsula,48.1,-63.8964,-60.7762,4326
MITC,Mitchell Cove (Robert Island),South Shetland Islands,48.1,-62.394444,-59.639722,4326
MIZU,Mizukuguri Cove,Queen Maud Land,58.4.2,-69.197,39.614,4326
MLGE,McLeod Glacier (east),South Orkney Islands,48.2,-60.721,-45.625,4326
MLGW,McLeod Glacier (west),South Orkney Islands,48.2,-60.7,-45.6,4326
MOEI,Moe Island,South Orkney Islands,48.2,-60.734,-45.691,4326
MOLI,Molina Point (northeast tip of Lemaire Island),Central-west Antarctic Peninsula,48.1,-64.8075,-62.853889,4326
MONA,Cape Monaco,Central-west Antarctic Peninsula,48.1,-64.717138,-64.278164,4326
MONR,Monroe Island,South Orkney Islands,48.2,-60.5997,-46.0568,4326
MONU,Monument Rocks,Central-west Antarctic Peninsula,48.1,-64.017,-60.9433,4326
MOOT,Moot Point,Central-west Antarctic Peninsula,48.1,-65.2062,-64.078,4326
MOPT,Monroe Point,South Shetland Islands,48.1,-62.8112,-61.5162,4326
MORE,Moreton Point,South Orkney Islands,48.2,-60.6122,-46.0308,4326
MOSS,West coast of Mossman Peninsula,South Orkney Islands,48.2,-60.772,-44.753,4326
MOYE,Moyes,South Orkney Islands,48.2,-60.732,-45.66,4326
MPNC,Moreton Point North Coast,South Orkney Islands,48.2,-60.61,-46.024,4326
MPTE,Macaroni Point (east),South Shetland Islands,48.1,-62.8987,-60.543,4326
MPTW,Macaroni Point (west),South Shetland Islands,48.1,-62.8991,-60.5833,4326
MRII,Mount Riiser-Larsen,Enderby Land,58.4.2,-66.7908,50.5511,4326
MUCK,Muckle Bluff,Elephant Island,48.1,-61.157,-54.86,4326
MURR,Murray Islands,South Orkney Islands,48.2,-60.773,-44.524,4326
MYAL,Myall/McMahon,Enderby Land,58.4.2,-67.6721,45.7356,4326
NANC,Nancy Rock,South Shetland Islands,48.1,-62.23,-59.099,4326
NCAP,North Cape (d'Urville Island),Northeast Antarctic Peninsula,48.1,-62.974,-56.489,4326
NCOI,North of Cornwall Island,South Shetland Islands,48.1,-62.33,-59.702,4326
NEIS,Nelly Island,Wilkes Land,58.4.1,-66.2294,110.1782,4326
NEKO,Neko Harbor (Andvord Bay),Central-west Antarctic Peninsula,48.1,-64.8383,-62.5327,4326
NELL,Nella/Thalla Islands,Victoria Land,88.1,-70.6136,166.0873,4326
NEPT,Nelly Point,Elephant Island,48.1,-61.157,-54.775,4326
NESM,Northeast of Smiggers Island,Southwest Antarctic Peninsula,48.1,-65.451571,-65.346483,4326
NEWE,Newell Point,South Shetland Islands,48.1,-62.3374,-59.52,4326
NFOR,North Foreland,South Shetland Islands,48.1,-61.8928,-57.688,4326
NHAM,North of Hammer Point,South Shetland Islands,48.1,-62.33,-59.624,4326
NIGG,Nigg Rock,South Orkney Islands,48.2,-60.707,-44.864,4326
NMED,North of Medley Rocks,Northeast Antarctic Peninsula,48.1,-62.9969,-55.9771,4326
NOBL,Noble Rocks,Central-west Antarctic Peninsula,48.1,-64.7849,-63.4335,4326
NOKK,Nokkelholmane Islands,Queen Maud Land,58.4.2,-69.3811,39.4635,4326
NOPT,North Point,South Orkney Islands,48.2,-60.672,-45.626,4326
NORF,Northern Foothills (Terra Nova Bay),Victoria Land,88.1,-74.75,164,4326
NORW,Norway Bight,South Orkney Islands,48.2,-60.616,-45.816,4326
NOVI,Noville Peninsula,Ellsworth Land,88.3,-71.77,-98.45,4326
NPRO,Promontories on north-central coast,South Shetland Islands,48.1,-63.25,-62.075,4326
NTAY,North of Taylor Point,South Shetland Islands,48.1,-61.919,-57.648,4326
NUTT,Cape Nutt,Wilkes Land,58.4.1,-66.6352,108.2127,4326
NVEG,North Vega Island,Northeast Antarctic Peninsula,48.1,-63.8053,-57.226,4326
NWPO,Northwest coast of Pomona Plateau,South Orkney Islands,48.2,-60.544,-45.96,4326
NWSP,Northwest of Spert Island,Central-west Antarctic Peninsula,48.1,-63.8225,-60.9597,4326
OBEL,Point Obelisk (James Ross Inland),Northeast Antarctic Peninsula,48.1,-64.127222,-58.450833,4326
OBRI,O'Brien Island,Elephant Island,48.1,-61.507,-55.956,4326
ODBE,Odbert Island,Wilkes Land,58.4.1,-66.3742,110.5421,4326
OLDH,Oldham Island,Mac. Robertson Land,58.4.2,-67.5208,61.7253,4326
OLIC,Oliphant Channel,South Orkney Islands,48.2,-60.729,-45.592,4326
OLII,Oliphant Islands,South Orkney Islands,48.2,-60.736,-45.594,4326
OMGA,Cape Omega,Queen Maud Land,58.4.2,-68.5667,40.9833,4326
ONEI,O'Neill Point,Central-west Antarctic Peninsula,48.1,-64.81622,-63.090132,4326
ONGU,Ongulkaven,Queen Maud Land,58.4.2,-69.0171,39.4252,4326
ORCW,Offshore Rocks off Cape Wallace,South Shetland Islands,48.1,-63.235,-62.228,4326
ORNE,Orne Islands,Central-west Antarctic Peninsula,48.1,-64.662,-62.673,4326
ORRO,Ornen Rocks,South Shetland Islands,48.1,-62.009,-57.566,4326
OUTE,Outer Island,South Orkney Islands,48.2,-60.7069,-45.5806,4326
OWEN,Owen Island,South Shetland Islands,48.1,-61.9332,-58.3886,4326
PABE,Paradise Harbor Beacon (Paradise Bay),Central-west Antarctic Peninsula,48.1,-64.9111,-62.9311,4326
PAGE,Pageant Point,South Orkney Islands,48.2,-60.7286,-45.5843,4326
PALA,Palaver Point,Central-west Antarctic Peninsula,48.1,-64.1486,-61.759,4326
PAND,Pandemonium Point,South Orkney Islands,48.2,-60.736,-45.648,4326
PANT,Pantomime Point,South Orkney Islands,48.2,-60.7266,-45.5833,4326
PAPT,Patelnia Point,South Shetland Islands,48.1,-62.235,-58.472,4326
PATE,Patella Island,Northeast Antarctic Peninsula,48.1,-63.1294,-55.5238,4326
PAUL,Paulet Island,Northeast Antarctic Peninsula,48.1,-63.5801,-55.7881,4326
PCHA,Port Charcot,Central-west Antarctic Peninsula,48.1,-65.067,-64.026,4326
PEIN,Peine Island (Comb Island),Northeast Antarctic Peninsula,48.1,-63.411,-54.717,4326
PENG,Penguin Island,South Shetland Islands,48.1,-62.102,-57.9269,4326
PEPO,Penguin Point (Seymour Island),Northeast Antarctic Peninsula,48.1,-64.3061,-56.7114,4326
PERS,Persson Island,Northeast Antarctic Peninsula,48.1,-64.2,-58.4,4326
PETE,Petermann Island,Central-west Antarctic Peninsula,48.1,-65.176,-64.137,4326
PGEO,Point Geologie,Adelie Land,58.4.1,-66.67,140.01,4326
PHIL,Cape Phillips,Victoria Land,88.1,-73.0714,169.6168,4326
PIGE,Cape Pigeon Rocks,Victoria Land,58.4.1,-66.9334,143.894,4326
PIIS,Peter I Island,Ellsworth Land,88.3,-68.835,-90.4917,4326
PILL,Pillar Ridge,Elephant Island,48.1,-61.271,-54.222,4326
PING,Pinguino Island,Central-west Antarctic Peninsula,48.1,-64.1435,-60.9857,4326
PIRI,Pirie Peninsula,South Orkney Islands,48.2,-60.69,-44.662,4326
PISL,Peterson Island,Wilkes Land,58.4.1,-66.4665,110.4993,4326
PKUP,Pickup Point,Elephant Island,48.1,-61.116,-54.645,4326
PLAT,Plato Island (Platter Island),Northeast Antarctic Peninsula,48.1,-63.433,-54.6742,4326
PLDR,Penguin Ladder,Elephant Island,48.1,-61.143,-54.72,4326
PLEN,Pleneau Island,Central-west Antarctic Peninsula,48.1,-65.104,-64.0556,4326
PMAR,Port Martin,Wilkes Land,58.4.1,-66.8113,141.3997,4326
POMO,Pomona Plateau Northwest coast,South Orkney Islands,48.2,-60.544,-45.96,4326
POPO,Pottinger Point,South Shetland Islands,48.1,-61.9325,-58.3582,4326
POPT,Portal Point,Central-west Antarctic Peninsula,48.1,-64.501944,-61.761111,4326
PORT,Porteous Point,South Orkney Islands,48.2,-60.724,-45.675,4326
POSS,Possession Island,Victoria Land,88.1,-71.8946,171.1692,4326
POWE,Powell Island,South Orkney Islands,48.2,-60.725,-45.029,4326
PPPT,Pink Pool Point,Elephant Island,48.1,-61.309,-54.079,4326
PRAE,Point Rae,South Orkney Islands,48.2,-60.757,-44.633,4326
PRES,President Head (Snow Island),South Shetland Islands,48.1,-62.7255,-61.2001,4326
PRIE,Priest Island (Peltier Channel),Central-west Antarctic Peninsula,48.1,-64.858889,-63.502222,4326
PRIM,Prime Head,Northwest Antarctic Peninsula,48.1,-63.2129,-57.305,4326
PRIN,Principal Point,Central-west Antarctic Peninsula,48.1,-64.9121,-63.431,4326
PROC,Proclamation Island,Enderby Land,58.4.2,-65.8424,53.6876,4326
PROS,Prospect Point,Southwest Antarctic Peninsula,48.1,-66.008889,-65.338333,4326
PSON,Peterson Bank,Wilkes Land,58.4.1,-65.92,110.23,4326
PTHO,Point Thomas,South Shetland Islands,48.1,-62.1631,-58.4615,4326
PTWD,Point Wordie,Elephant Island,48.1,-61.245,-55.328,4326
PURD,Purdy Point,South Orkney Islands,48.2,-60.5333,-45.4333,4326
PYPT,Py Point,Central-west Antarctic Peninsula,48.1,-64.8792,-63.5974,4326
PYRI,Pyrites Island,South Shetland Islands,48.1,-61.9241,-57.9491,4326
QPTN,Quinton Point (north),Central-west Antarctic Peninsula,48.1,-64.317,-63.667,4326
RAGN,Ragnhild,Queen Maud Land,48.6,-69.9,27.15,4326
RAND,Rocks near Andersson Island,Northeast Antarctic Peninsula,48.1,-63.5603,-56.4856,4326
RAUE,Rauer Islands,Princess Elizabeth Land,58.4.2,-68.8331,77.6765,4326
RAYN,Rayner Point,South Orkney Islands,48.2,-60.648,-45.191,4326
RBSN,Robinson,Mac. Robertson Land,58.4.2,-67.4543,63.4596,4326
REDI,Red Island,Northeast Antarctic Peninsula,48.1,-63.7356,-57.88,4326
RENI,Renier Point,South Shetland Islands,48.1,-62.609,-59.81,4326
RETU,Return Point,South Orkney Islands,48.2,-60.6266,-46.0328,4326
RHYO,Rhyolite Island,Palmer Land,48.1,-69.6488,-68.5709,4326
RIDL,Ridley Island,South Shetland Islands,48.1,-61.85,-58.016,4326
RIIS,Riiser,Queen Maud Land,48.6,-72.12,-15.11,4326
RIPP,Rip Point,South Shetland Islands,48.1,-62.235,-59.001,4326
RNVG,Near Ranvik Glacier,Princess Elizabeth Land,58.4.2,-69.154027,77.262724,4326
ROBB,Robbery Beaches,South Shetland Islands,48.1,-62.616,-61.083,4326
ROBE,Robert Point (Robert Island),South Shetland Islands,48.1,-62.45,-59.383,4326
ROCA,Cape Roca,South Orkney Islands,48.2,-60.75,-44.8167,4326
ROGE,Cape Roget,Victoria Land,88.1,-71.99,170.59,4326
ROME,Romeo Island,South Shetland Islands,48.1,-62.3763,-59.9268,4326
RONE,Ronge Island East,Central-west Antarctic Peninsula,48.1,-64.6884,-62.6436,4326
RONW,Robinson (northwest),Mac. Robertson Land,58.4.2,-67.4489,63.413,4326
ROOK,Rookery Islands,Mac. Robertson Land,58.4.2,-67.6044,62.5099,4326
ROQU,Cape Roquemaurel,Northwest Antarctic Peninsula,48.1,-63.5486,-58.9652,4326
ROSE,Robinson (southeast),Mac. Robertson Land,58.4.2,-67.4749,63.4956,4326
ROWE,Rowett Island,Elephant Island,48.1,-61.2852,-55.2141,4326
ROYD,Cape Royds,Victoria Land,88.1,-77.5545,166.1639,4326
RRRI,Red Rock Ridge,Southwest Antarctic Peninsula,48.1,-68.2878,-67.1686,4326
RUDM,Rudmose Rocks,South Orkney Islands,48.2,-60.676,-44.602,4326
RUGG,Rugged Rocks,South Shetland Islands,48.1,-62.601,-59.816,4326
RUMP,Rumpa Island,Queen Maud Land,58.4.2,-69.1441,39.3905,4326
RUPE,Rupert Coast,Marie Byrd Land,88.2,-75.38,-143.3,4326
RZEP,Rzepeki Islands,South Shetland Islands,48.1,-62.099,-58.824,4326
SABR,Sabrina Island,Victoria Land,88.1,-66.9171,163.309,4326
SADD,Saddle Island,South Orkney Islands,48.2,-60.617,-44.855,4326
SANA,Sanae,Queen Maud Land,48.6,-70,-1.42,4326
SAND,Sandefjord Bay,South Orkney Islands,48.2,-60.605,-46.0367,4326
SANE,San Eliado Point,Central-west Antarctic Peninsula,48.1,-64.844,-63.1166,4326
SAPT,Saddleback Point,Elephant Island,48.1,-61.099,-54.901,4326
SART,Sartorius Point,South Shetland Islands,48.1,-62.5596,-59.6567,4326
SAXU,Saxum Nunatak,Northeast Antarctic Peninsula,48.1,-63.1367,-56.0533,4326
SCUL,Scullin/Murray,Mac. Robertson Land,58.4.2,-67.7833,66.6968,4326
SEAL,Seal Islands,Elephant Island,48.1,-60.975,-55.393,4326
SEFB,SE Fisher Bay,Victoria Land,58.4.1,-67.5949,146.0809,4326
SEGI,Small island southeast on Gerlache Island,Central-west Antarctic Peninsula,48.1,-64.6037,-64.2038,4326
SELV,Selvick Cove,Central-west Antarctic Peninsula,48.1,-64.6405,-62.5691,4326
SENT,Sentry Rocks,Victoria Land,88.1,-70.7543,167.4046,4326
SEPR,SE Promontory,Victoria Land,88.1,-66.65,163.05,4326
SERA,Serac Point,Elephant Island,48.1,-61.177,-54.026,4326
SGUE,Island south of Guesalaga Island,Central-west Antarctic Peninsula,48.1,-64.282,-61.999,4326
SHAC,Shackleton Ice Shelf,Queen Mary Land,58.4.1,-64.86,96.02,4326
SHAG,Shagnasty Island,South Orkney Islands,48.2,-60.732,-45.618,4326
SHEE,Sheelagh Islands,Enderby Land,58.4.2,-66.5464,50.1804,4326
SHEI,Shepard Island,Marie Byrd Land,88.2,-74.3773,-132.5519,4326
SHEN,Sheppard Nunatak,Northeast Antarctic Peninsula,48.1,-63.3629,-57.0154,4326
SHEP,Sheppard Point,Northeast Antarctic Peninsula,48.1,-63.3707,-56.9844,4326
SHIL,Shilling Shelf,Elephant Island,48.1,-61.097,-54.735,4326
SHIN,Shingle Cove (Coronation Island),South Orkney Islands,48.2,-60.6469,-45.5636,4326
SHIR,Cape Shirreff,South Shetland Islands,48.1,-62.4575,-60.7874,4326
SHIS,Shag Island,South Shetland Islands,48.1,-62.185,-58.297,4326
SHLY,Shirley/Beall,Wilkes Land,58.4.1,-66.283,110.5,4326
SHUM,Shumskiy Cove,Southwest Antarctic Peninsula,48.1,-67.072778,-67.3525,4326
SIFF,Siffrey Point,Northwest Antarctic Peninsula,48.1,-63.221944,-57.222222,4326
SIGA,Sigaren,Queen Maud Land,58.4.2,-69.1693,39.4344,4326
SIMS,Sims Island,Palmer Land,88.3,-73.2725,-78.5407,4326
SKIL,Skilling Island (north coast),South Orkney Islands,48.2,-60.7833,-45.15,4326
SKOT,Skottsberg Point,Central-west Antarctic Peninsula,48.1,-63.9205,-60.8089,4326
SMAL,Small Island,Central-west Antarctic Peninsula,48.1,-64.0121,-61.4549,4326
SMAT,Unnamed islands (South of Matthews Island),South Orkney Islands,48.2,-60.742,-45.154,4326
SMIG,Smiggers Island,Southwest Antarctic Peninsula,48.1,-65.4597,-65.3514,4326
SMIT,Cape Smith,South Shetland Islands,48.1,-62.8738,-62.3,4326
SMTH,Smith,Palmer Land,48.5,-74.37,-60.83,4326
SMYL,Smyley,Palmer Land,88.3,-72.3,-78.83,4326
SNOW,Snow Hill Island,Northeast Antarctic Peninsula,48.1,-64.52,-57.44,4326
SOMI,South of Martin Islands,Southwest Antarctic Peninsula,48.1,-65.6881,-65.3381,4326
SOTH,South of Tay Head,Northeast Antarctic Peninsula,48.1,-63.3359,-55.6413,4326
SPBL,South Point Bluff,South Shetland Islands,48.1,-63.0158,-60.6347,4326
SPER,Spert Island,Central-west Antarctic Peninsula,48.1,-63.8614,-60.9778,4326
SPIG,Spigot Peak,Central-west Antarctic Peninsula,48.1,-64.635,-62.554,4326
SPIN,Spine Island (Coronation Island),South Orkney Islands,48.2,-60.594,-46.0202,4326
SPIP,Spigot Peak Point,Central-west Antarctic Peninsula,48.1,-64.625,-62.558,4326
SPLI,Split Beach,Elephant Island,48.1,-61.156,-54.937,4326
SPNW,South Point Bluff (northwest),South Shetland Islands,48.1,-63.0138,-60.6702,4326
SPRI,Sprightly Islands Vicinity,Central-west Antarctic Peninsula,48.1,-64.283,-61.072,4326
SPRO,Spindrift Rocks,South Orkney Islands,48.2,-60.683,-45.644,4326
SPTR,Spigot Peak Tripod,Central-west Antarctic Peninsula,48.1,-64.6358,-62.5622,4326
SPUI,Spence Harbour and unnamed island,South Orkney Islands,48.2,-60.699,-45.169,4326
STAC,Stackpole Rocks,South Shetland Islands,48.1,-62.678,-60.9574,4326
STAN,Stanton Continental Rock,Mac. Robertson Land,58.4.2,-67.5342,61.7175,4326
STCB,Stancomb,Coats Land,48.5,-74.12,-23.09,4326
STEE,Steepholm Islands,South Orkney Islands,48.2,-60.7833,-45.15,4326
STEI,Steines Island,Princess Elizabeth Land,58.4.2,-69.3412,76.5825,4326
STEN,Stene Point,South Orkney Islands,48.2,-60.654,-45.707,4326
STER,Sterneck Island,Central-west Antarctic Peninsula,48.1,-64.201,-60.9826,4326
STIG,Stigant Point,South Shetland Islands,48.1,-62.023,-58.7185,4326
STOK,Stoker Island,South Shetland Islands,48.1,-62.4,-59.85,4326
STON,Stonington Island,Southwest Antarctic Peninsula,48.1,-68.186076,-66.997005,4326
STRA,Stranger Point,South Shetland Islands,48.1,-62.26,-58.6161,4326
STUN,Stanton unnamed,Mac. Robertson Land,58.4.2,-67.5078,61.5978,4326
STUR,Sturge Island,Victoria Land,88.1,-67.467,164.633,4326
SVEN,Sven Foyn Island,Victoria Land,88.1,-71.956,171.0695,4326
SVIS,Svenner Islands,Princess Elizabeth Land,58.4.2,-69.0341,76.8346,4326
SWIS,Southwest Island (Aviation Islands),Victoria Land,88.1,-69.2666,158.7833,4326
TART,Tartar Point,South Shetland Islands,48.1,-61.937,-58.423,4326
TAYG,Taylor Glacier,Mac. Robertson Land,58.4.2,-67.45,60.88,4326
TAYH,Tay Head (Joinville Island),Northeast Antarctic Peninsula,48.1,-63.3486,-55.5508,4326
TAYL,Taylor Point,South Shetland Islands,48.1,-61.933,-57.642,4326
TELE,Telefon Bay (Deception Is),South Shetland Islands,48.1,-62.923611,-60.664444,4326
TENM,Tenmondai Rock,Queen Maud Land,58.4.2,-68.4445,41.701,4326
TETR,Tetrad Islands,Central-west Antarctic Peninsula,48.1,-63.918,-60.734,4326
THOR,Thorgaut,Mac. Robertson Land,58.4.2,-67.4425,63.5433,4326
THUN,Thunder Bay,Elephant Island,48.1,-61.312,-54.117,4326
THUR,"Thurston Glacier, Mount Siple",Marie Byrd Land,88.2,-73.5,-125.621,4326
TICK,Tickell Head,South Orkney Islands,48.2,-60.528,-45.798,4326
TIEA,Trinity Island (east),Central-west Antarctic Peninsula,48.1,-63.883,-60.683,4326
TINW,Trinity Island (northwest),Central-west Antarctic Peninsula,48.1,-63.711,-60.749,4326
TISW,Trinity Island (southwest),Central-west Antarctic Peninsula,48.1,-63.9,-60.879,4326
TIWE,Trinity Island (west),Central-west Antarctic Peninsula,48.1,-63.833,-60.829,4326
TORG,Torgersen Island,Central-west Antarctic Peninsula,48.1,-64.7731,-64.0741,4326
TORI,Torinosu Cove,Queen Maud Land,58.4.2,-69.4833,39.5667,4326
TOWE,Tower Island (east),Northwest Antarctic Peninsula,48.1,-63.591,-59.779,4326
TOWW,Tower Island (west),Northwest Antarctic Peninsula,48.1,-63.56,-59.876,4326
TPTN,Two points north of Cape Hooker,South Shetland Islands,48.1,-63.319,-61.951,4326
TRIA,Triangle Point,South Shetland Islands,48.1,-62.522,-59.839,4326
TROW,Trowbridge Islands,South Shetland Islands,48.1,-61.996,-57.6304,4326
